source_file,group,v_s,lemma,pos,literacy_source,literacy_term_id,csv_definition,level_basis,student_definition,example_sentence,example_target_form,subject_category,note_week,reuse_check,final_classification,csv_caution,content_id,vocab_level,level_status,db_headword,db_pos,db_source,db_level,db_subject_category,db_note,db_definition,db_review_status,checks_json,flags_json,verdict,verdict_reason
schema_reading_phase13_l4_core50_final_20260925.csv,B_10_real_L4_verified,V,착수,명사,schemareading-tooldict,4813,어떤 일에 손을 댐. 또는 어떤 일을 시작함.,"literacy.db 실제 저장 level=4, term_id=4813 재조회 확인(2026-09-25 라이브 재검증)",어떤 일을 시작하여 손을 대는 것,도서관 공사가 다음 주에 착수될 예정입니다.,착수,,,"vocabulary_contents(5723건, 서버) 전체 lemma 대조 - 0건 일치(REUSE 후보 없음)",NEW_PRIVATE_LOADABLE,,SR_L4CORE_4813,4,REVIEW_BOUNDARY,착수,명사,schemareading-tooldict,4,,,어떤 일에 손을 댐. 또는 어떤 일을 시작함.,검수전,"{""term_exists"": ""PASS"", ""headword_match"": ""PASS"", ""source_match"": ""PASS"", ""level_match"": ""PASS"", ""pos_match"": ""PASS"", ""definition_verbatim_match"": ""PASS"", ""literacy_db_homonym_row_count"": ""1""}",[],AUTO_PASS,"구조 대조 전부 PASS, caution 없음, literacy.db 내 동형이의 분리 행 없음"
schema_reading_phase13_l4_core50_final_20260925.csv,B_10_real_L4_verified,V,조치,명사,schemareading-tooldict,4794,벌어지는 사태를 잘 살펴서 필요한 대책을 세워 행함. 또는 그 대책.,"literacy.db 실제 저장 level=4, term_id=4794 재조회 확인(2026-09-25 라이브 재검증)",상황을 살펴보고 필요한 일을 하는 것,학교는 미끄러운 계단에 안전 표지를 붙이는 조치를 했습니다.,조치,,,"vocabulary_contents(5723건, 서버) 전체 lemma 대조 - 0건 일치(REUSE 후보 없음)",NEW_PRIVATE_LOADABLE,,SR_L4CORE_4794,4,REVIEW_BOUNDARY,조치,명사,schemareading-tooldict,4,,,벌어지는 사태를 잘 살펴서 필요한 대책을 세워 행함. 또는 그 대책.,검수전,"{""term_exists"": ""PASS"", ""headword_match"": ""PASS"", ""source_match"": ""PASS"", ""level_match"": ""PASS"", ""pos_match"": ""PASS"", ""definition_verbatim_match"": ""PASS"", ""literacy_db_homonym_row_count"": ""1""}",[],AUTO_PASS,"구조 대조 전부 PASS, caution 없음, literacy.db 내 동형이의 분리 행 없음"
schema_reading_phase13_l4_core50_final_20260925.csv,B_10_real_L4_verified,V,집단,명사,schemareading-tooldict,4812,여럿이 모여 이룬 모임.,"literacy.db 실제 저장 level=4, term_id=4812 재조회 확인(2026-09-25 라이브 재검증)",여러 사람이 모여 이룬 무리,합창단은 노래를 함께 부르려고 모인 집단입니다.,집단,,,"vocabulary_contents(5723건, 서버) 전체 lemma 대조 - 0건 일치(REUSE 후보 없음)",NEW_PRIVATE_LOADABLE,,SR_L4CORE_4812,4,REVIEW_BOUNDARY,집단,명사,schemareading-tooldict,4,,,여럿이 모여 이룬 모임.,검수전,"{""term_exists"": ""PASS"", ""headword_match"": ""PASS"", ""source_match"": ""PASS"", ""level_match"": ""PASS"", ""pos_match"": ""PASS"", ""definition_verbatim_match"": ""PASS"", ""literacy_db_homonym_row_count"": ""1""}",[],AUTO_PASS,"구조 대조 전부 PASS, caution 없음, literacy.db 내 동형이의 분리 행 없음"
schema_reading_phase13_l4_core50_final_20260925.csv,B_10_real_L4_verified,V,종속,명사,schemareading-tooldict,4796,자주성이 없이 주가 되는 것에 딸려 붙음.,"literacy.db 실제 저장 level=4, term_id=4796 재조회 확인(2026-09-25 라이브 재검증)",스스로 결정하지 못하고 다른 것에 딸려 따르는 것,그 조직은 본부에 종속되어 중요한 일을 혼자 결정할 수 없습니다.,종속,,,"vocabulary_contents(5723건, 서버) 전체 lemma 대조 - 0건 일치(REUSE 후보 없음)",NEW_PRIVATE_LOADABLE,,SR_L4CORE_4796,4,REVIEW_BOUNDARY,종속,명사,schemareading-tooldict,4,,,자주성이 없이 주가 되는 것에 딸려 붙음.,검수전,"{""term_exists"": ""PASS"", ""headword_match"": ""PASS"", ""source_match"": ""PASS"", ""level_match"": ""PASS"", ""pos_match"": ""PASS"", ""definition_verbatim_match"": ""PASS"", ""literacy_db_homonym_row_count"": ""1""}",[],AUTO_PASS,"구조 대조 전부 PASS, caution 없음, literacy.db 내 동형이의 분리 행 없음"
schema_reading_phase13_l4_core50_final_20260925.csv,B_10_real_L4_verified,V,정상,명사,schemareading-tooldict,4787,특별한 변동이나 탈이 없이 제대로인 상태.,"literacy.db 실제 저장 level=4, term_id=4787 재조회 확인(2026-09-25 라이브 재검증)",별다른 문제가 없이 제대로인 상태,전원을 다시 켜자 측정기가 정상 상태로 돌아왔습니다.,정상,,,"vocabulary_contents(5723건, 서버) 전체 lemma 대조 - 0건 일치(REUSE 후보 없음)",NEW_PRIVATE_LOADABLE,동형이의어 주의: '정상(산 정상=꼭대기)'이라는 다른 뜻이 있음. literacy.db에는 '제대로인 상태' 뜻 1건만 저장(all_matches_count=1) - 출제 시 문맥으로 뜻을 명확히 구분해야 함,SR_L4CORE_4787,4,REVIEW_BOUNDARY,정상,명사,schemareading-tooldict,4,,,특별한 변동이나 탈이 없이 제대로인 상태.,검수전,"{""term_exists"": ""PASS"", ""headword_match"": ""PASS"", ""source_match"": ""PASS"", ""level_match"": ""PASS"", ""pos_match"": ""PASS"", ""definition_verbatim_match"": ""PASS"", ""literacy_db_homonym_row_count"": ""1""}","[""결과표 caution 필드 기존 표시: 동형이의어 주의: '정상(산 정상=꼭대기)'이라는 다른 뜻이 있음. literacy.db에는 '제대로인 상태' 뜻 1건만 저장(all_matches_count=1) - 출제 시 문맥으로 뜻을 명확히 구분해야 함""]",MEANING_REVIEW,결과표 caution: 동형이의어 주의: '정상(산 정상=꼭대기)'이라는 다른 뜻이 있음. literacy.db에는 '제대로인 상태' 뜻 1건만 저장(all_matches_count=1) - 출제 시 문맥으로 뜻을 명확히 구분해야 함
schema_reading_phase13_l4_core50_final_20260925.csv,B_10_real_L4_verified,V,합성,명사,schemareading-tooldict,4827,둘 이상의 것을 합쳐서 하나를 이룸.,"literacy.db 실제 저장 level=4, term_id=4827 재조회 확인(2026-09-25 라이브 재검증)",둘 이상의 것을 합쳐 하나로 만드는 것,미술 시간에는 여러 사진을 합성하여 새로운 장면을 만들었습니다.,합성,,,"vocabulary_contents(5723건, 서버) 전체 lemma 대조 - 0건 일치(REUSE 후보 없음)",NEW_PRIVATE_LOADABLE,,SR_L4CORE_4827,4,REVIEW_BOUNDARY,합성,명사,schemareading-tooldict,4,,,둘 이상의 것을 합쳐서 하나를 이룸.,검수전,"{""term_exists"": ""PASS"", ""headword_match"": ""PASS"", ""source_match"": ""PASS"", ""level_match"": ""PASS"", ""pos_match"": ""PASS"", ""definition_verbatim_match"": ""PASS"", ""literacy_db_homonym_row_count"": ""1""}",[],AUTO_PASS,"구조 대조 전부 PASS, caution 없음, literacy.db 내 동형이의 분리 행 없음"
schema_reading_phase13_l4_core50_final_20260925.csv,B_10_real_L4_verified,V,하위,명사,schemareading-tooldict,4825,낮은 지위나 등급이나 위치.,"literacy.db 실제 저장 level=4, term_id=4825 재조회 확인(2026-09-25 라이브 재검증)","지위나 등급, 위치가 더 낮은 쪽",이 표에서는 큰 주제 아래에 세부 항목을 하위 항목으로 적었습니다.,하위,,,"vocabulary_contents(5723건, 서버) 전체 lemma 대조 - 0건 일치(REUSE 후보 없음)",NEW_PRIVATE_LOADABLE,,SR_L4CORE_4825,4,REVIEW_BOUNDARY,하위,명사,schemareading-tooldict,4,,,낮은 지위나 등급이나 위치.,검수전,"{""term_exists"": ""PASS"", ""headword_match"": ""PASS"", ""source_match"": ""PASS"", ""level_match"": ""PASS"", ""pos_match"": ""PASS"", ""definition_verbatim_match"": ""PASS"", ""literacy_db_homonym_row_count"": ""1""}",[],AUTO_PASS,"구조 대조 전부 PASS, caution 없음, literacy.db 내 동형이의 분리 행 없음"
schema_reading_phase13_l4_core50_final_20260925.csv,B_10_real_L4_verified,V,중복,명사,schemareading-tooldict,4801,거듭하거나 겹침.,"literacy.db 실제 저장 level=4, term_id=4801 재조회 확인(2026-09-25 라이브 재검증)",같은 것이 거듭되거나 서로 겹치는 것,명단에서 이름의 중복을 확인하고 한 번만 적었습니다.,중복,,,"vocabulary_contents(5723건, 서버) 전체 lemma 대조 - 0건 일치(REUSE 후보 없음)",NEW_PRIVATE_LOADABLE,,SR_L4CORE_4801,4,REVIEW_BOUNDARY,중복,명사,schemareading-tooldict,4,,,거듭하거나 겹침.,검수전,"{""term_exists"": ""PASS"", ""headword_match"": ""PASS"", ""source_match"": ""PASS"", ""level_match"": ""PASS"", ""pos_match"": ""PASS"", ""definition_verbatim_match"": ""PASS"", ""literacy_db_homonym_row_count"": ""1""}",[],AUTO_PASS,"구조 대조 전부 PASS, caution 없음, literacy.db 내 동형이의 분리 행 없음"
schema_reading_phase13_l4_core50_final_20260925.csv,B_10_real_L4_verified,V,정기,명사,schemareading-tooldict,4786,기한이나 기간이 일정하게 정하여져 있는 것. 또는 그 기한이나 기간.,"literacy.db 실제 저장 level=4, term_id=4786 재조회 확인(2026-09-25 라이브 재검증)",일정한 기간마다 되풀이하도록 정한 것,우리 반은 매달 첫째 주에 정기 모임을 엽니다.,정기,,,"vocabulary_contents(5723건, 서버) 전체 lemma 대조 - 0건 일치(REUSE 후보 없음)",NEW_PRIVATE_LOADABLE,,SR_L4CORE_4786,4,REVIEW_BOUNDARY,정기,명사,schemareading-tooldict,4,,,기한이나 기간이 일정하게 정하여져 있는 것. 또는 그 기한이나 기간.,검수전,"{""term_exists"": ""PASS"", ""headword_match"": ""PASS"", ""source_match"": ""PASS"", ""level_match"": ""PASS"", ""pos_match"": ""PASS"", ""definition_verbatim_match"": ""PASS"", ""literacy_db_homonym_row_count"": ""1""}",[],AUTO_PASS,"구조 대조 전부 PASS, caution 없음, literacy.db 내 동형이의 분리 행 없음"
schema_reading_phase13_l4_core50_final_20260925.csv,B_10_real_L4_verified,V,유추,명사,schemareading-tooldict,4767,같은 종류의 것 또는 비슷한 것에 기초하여 다른 사물을 미루어 추측하는 일.,"literacy.db 실제 저장 level=4, term_id=4767 재조회 확인(2026-09-25 라이브 재검증)",비슷한 점을 근거로 다른 일도 그럴 것이라 미루어 생각하는 것,다른 지역의 사례를 유추해 우리 마을에서도 비슷한 일이 일어날지 생각했습니다.,유추,,,"vocabulary_contents(5723건, 서버) 전체 lemma 대조 - 0건 일치(REUSE 후보 없음)",NEW_PRIVATE_LOADABLE,,SR_L4CORE_4767,4,REVIEW_BOUNDARY,유추,명사,schemareading-tooldict,4,,,같은 종류의 것 또는 비슷한 것에 기초하여 다른 사물을 미루어 추측하는 일.,검수전,"{""term_exists"": ""PASS"", ""headword_match"": ""PASS"", ""source_match"": ""PASS"", ""level_match"": ""PASS"", ""pos_match"": ""PASS"", ""definition_verbatim_match"": ""PASS"", ""literacy_db_homonym_row_count"": ""1""}","[""보고서 본문 전용 캐주션(phase15 편입): phase13 보고서 2-4절: '유사'와 어근 '유' 공유 + '비슷함' 개념 인접(유사=비슷함 자체, 유추=비슷함에 근거한 추론)이라 학생이 혼동할 수 있음 - caution 컬럼에는 기록되지 않고 보고서 본문에만 서술돼 있던 것을 phase15가 재확인해 편입.""]",MEANING_REVIEW,"보고서 본문 전용 캐주션(phase15 편입): phase13 보고서 2-4절: '유사'와 어근 '유' 공유 + '비슷함' 개념 인접(유사=비슷함 자체, 유추=비슷함에 근거한 추론)이라 학생이 혼동할 수 있음 - caution 컬럼에는 기록되지 않고 보고서 본문에만 서술돼 있던 것을 phase15가 재확인해 편입."
