idiom_id,sentence,context_type,grade_band,source
66,동생은 안 된다는 말을 열 번을 들어도 똑같은 말만 되풀이하며 떼를 썼다.,situation,elem,handwritten-2026-09
150,그 나무는 마을에서 백 년 넘게 살아남은 단 한 그루였다.,situation,elem,handwritten-2026-09
14,말썽만 부리던 그 아이는 전학 온 뒤로 완전히 다른 사람처럼 성실해졌다.,situation,elem,handwritten-2026-09
28,삼 년을 매일 연습한 끝에 그는 마침내 대회에서 우승했다.,situation,elem,handwritten-2026-09
42,성실했던 그 학생은 불량한 무리와 어울리더니 점점 말투와 행동이 거칠어졌다.,situation,elem,handwritten-2026-09
47,시험에서 일등을 하자 그는 온 교실을 돌아다니며 자기 자랑을 늘어놓았다.,situation,elem,handwritten-2026-09
48,패색이 짙던 팀은 마지막 순간 역전골을 넣으며 경기를 뒤집었다.,situation,elem,handwritten-2026-09
63,두 사람은 나란히 걸으면서도 서로 전혀 다른 계획을 마음속에 품고 있었다.,situation,elem,handwritten-2026-09
98,낯선 도시에 홀로 남겨진 그는 도움을 청할 사람이 아무도 없었다.,situation,elem,handwritten-2026-09
99,사방에서 비난이 쏟아지자 그는 어디에도 하소연할 곳이 없었다.,situation,elem,handwritten-2026-09
105,떨어진 줄 알았던 시험에 붙었고 붙은 줄 알았던 자리는 나중에 큰 골칫거리가 되었다.,situation,elem,handwritten-2026-09
110,우산도 없이 비를 맞았는데 버스마저 눈앞에서 놓쳐 버렸다.,situation,elem,handwritten-2026-09
113,몇 푼 아끼려고 싼 재료를 쓰다가 결국 손님을 다 잃고 말았다.,situation,elem,handwritten-2026-09
137,사건은 단서 하나 없이 몇 달째 제자리를 맴돌고 있었다.,situation,elem,handwritten-2026-09
155,두 사람은 아무 말 하지 않고도 서로의 마음을 정확히 알아차렸다.,situation,elem,handwritten-2026-09
159,자전거로 출근하니 교통비도 아끼고 운동도 저절로 되었다.,situation,elem,handwritten-2026-09
173,몇 번을 실패하자 그는 더 이상 노력해 봐야 소용없다며 손을 놓아 버렸다.,situation,elem,handwritten-2026-09
175,약속을 어긴 쪽은 오히려 상대방에게 왜 화를 내냐며 큰소리를 쳤다.,situation,elem,handwritten-2026-09
179,다리를 다쳐 쉬는 동안 오히려 미뤄 뒀던 공부에 몰두할 수 있었다.,situation,elem,handwritten-2026-09
188,회의에서는 저마다 다른 의견을 동시에 쏟아내 도무지 정리가 되지 않았다.,situation,elem,handwritten-2026-09
190,그는 힘든 일이 생길 때마다 십 년 지기 그 친구에게만 속을 털어놓았다.,situation,elem,handwritten-2026-09
191,앞으로 가면 절벽이고 뒤로 가면 낭떠러지라 그는 그 자리에 멈춰 설 수밖에 없었다.,situation,elem,handwritten-2026-09
219,갑자기 튀어나온 그림자에 놀란 그는 소리도 지르지 못한 채 그 자리에 얼어붙었다.,situation,elem,handwritten-2026-09
224,돈을 다 써 버린 뒤에야 그는 아껴 쓸 걸 그랬다며 땅을 쳤다.,situation,elem,handwritten-2026-09
7,그는 예전 지도만 보고 길을 찾다가 새로 뚫린 도로를 알아채지 못했다.,situation,mid,handwritten-2026-09
11,그는 자기에게 이로울 때만 친구를 찾고 필요 없어지면 매몰차게 등을 돌렸다.,situation,mid,handwritten-2026-09
12,회의실은 서로 다른 주장을 내세우는 목소리로 한 시간 넘게 시끄러웠다.,situation,mid,handwritten-2026-09
15,옛 동네에 다시 가 보니 골목 하나 알아볼 수 없을 만큼 모든 것이 바뀌어 있었다.,situation,mid,handwritten-2026-09
24,그는 앞뒤를 재지 않고 충동적으로 결정을 내려 일을 더 어렵게 만들었다.,situation,mid,handwritten-2026-09
26,산 중턱에 갇힌 등산객은 연락할 방법도 도와줄 사람도 없었다.,situation,mid,handwritten-2026-09
30,그는 자신이 곧 세상을 뒤바꿀 위인이 될 거라고 굳게 믿고 있었다.,situation,mid,handwritten-2026-09
33,몇 달 만에 다시 만난 그의 실력은 예전과 비교할 수 없을 만큼 늘어 있었다.,situation,mid,handwritten-2026-09
49,이미 절반을 넘어선 공사라 지금 멈추면 오히려 더 큰 손해였다.,situation,mid,handwritten-2026-09
52,밤늦도록 연락이 없는 자식을 기다리며 그녀는 뜬눈으로 밤을 지새웠다.,situation,mid,handwritten-2026-09
